Channel,SNR_dB,Variant,Trials_Total,Trials_Valid,SyncFailCount,SyncFailRate,BitErrors_Valid,Bits_Valid,BER_Valid,FrameErrors_Valid,FER_Valid,FrameErrors_Overall,FER_Overall,Wilson_Lower_ValidBER,Wilson_Upper_ValidBER
Profile P1: Tx15m / 20km / Rx34m,-16,IAE,200,200,0,0.0000,1392,24000,0.058000,152,0.7600,152,0.7600,0.055113,0.061029
Profile P1: Tx15m / 20km / Rx34m,-15,IAE,200,200,0,0.0000,658,24000,0.027417,89,0.4450,89,0.4450,0.025425,0.029559
Profile P1: Tx15m / 20km / Rx34m,-14,IAE,200,200,0,0.0000,238,24000,0.009917,30,0.1500,30,0.1500,0.008739,0.011251
Profile P1: Tx15m / 20km / Rx34m,-13,IAE,200,200,0,0.0000,26,24000,0.001083,18,0.0900,18,0.0900,0.000739,0.001587
Profile P1: Tx15m / 20km / Rx34m,-12,IAE,200,200,0,0.0000,9,24000,0.000375,6,0.0300,6,0.0300,0.000197,0.000713
Profile P1: Tx15m / 20km / Rx34m,-11,IAE,200,200,0,0.0000,0,24000,0.000000,0,0.0000,0,0.0000,0.000000,0.000160
Profile P1: Tx15m / 20km / Rx34m,-10,IAE,200,200,0,0.0000,0,24000,0.000000,0,0.0000,0,0.0000,0.000000,0.000160
Profile P1: Tx15m / 20km / Rx34m,-16,VB-FQ,200,200,0,0.0000,1070,24000,0.044583,139,0.6950,139,0.6950,0.042044,0.047268
Profile P1: Tx15m / 20km / Rx34m,-15,VB-FQ,200,200,0,0.0000,544,24000,0.022667,87,0.4350,87,0.4350,0.020859,0.024628
Profile P1: Tx15m / 20km / Rx34m,-14,VB-FQ,200,200,0,0.0000,100,24000,0.004167,27,0.1350,27,0.1350,0.003427,0.005065
Profile P1: Tx15m / 20km / Rx34m,-13,VB-FQ,200,200,0,0.0000,9,24000,0.000375,7,0.0350,7,0.0350,0.000197,0.000713
Profile P1: Tx15m / 20km / Rx34m,-12,VB-FQ,200,200,0,0.0000,25,24000,0.001042,6,0.0300,6,0.0300,0.000706,0.001537
Profile P1: Tx15m / 20km / Rx34m,-11,VB-FQ,200,200,0,0.0000,2,24000,0.000083,1,0.0050,1,0.0050,0.000023,0.000304
Profile P1: Tx15m / 20km / Rx34m,-10,VB-FQ,200,200,0,0.0000,0,24000,0.000000,0,0.0000,0,0.0000,0.000000,0.000160
Profile P1: Tx15m / 20km / Rx34m,-16,E-FQ,200,200,0,0.0000,1773,24000,0.073875,145,0.7250,145,0.7250,0.070633,0.077253
Profile P1: Tx15m / 20km / Rx34m,-15,E-FQ,200,200,0,0.0000,753,24000,0.031375,90,0.4500,90,0.4500,0.029243,0.033657
Profile P1: Tx15m / 20km / Rx34m,-14,E-FQ,200,200,0,0.0000,256,24000,0.010667,27,0.1350,27,0.1350,0.009443,0.012047
Profile P1: Tx15m / 20km / Rx34m,-13,E-FQ,200,200,0,0.0000,64,24000,0.002667,11,0.0550,11,0.0550,0.002089,0.003404
Profile P1: Tx15m / 20km / Rx34m,-12,E-FQ,200,200,0,0.0000,178,24000,0.007417,6,0.0300,6,0.0300,0.006407,0.008584
